game_date,game_time,stadium_name,home_team,away_team
20230330,13:05:00,Yankee Stadium,NYA,SFN
20230330,13:05:00,Nationals Park,WAS,ATL
20230330,13:10:00,Petco Park,SDN,COL
20230330,13:20:00,Wrigley Field,CHN,MIL
20230330,14:10:00,Fenway Park,BOS,BAL
20230330,15:05:00,Globe Life Field,TEX,PHI
20230330,15:10:00,Busch Stadium,SLN,TOR
20230330,15:10:00,Kauffman Stadium,KCA,MIN
20230330,15:10:00,Tropicana Field,TBA,DET
20230330,16:10:00,Great American Ball Park,CIN,PIT
20230330,16:10:00,loanDepot park,MIA,NYN
20230330,18:08:00,Minute Maid Park,HOU,CHA
20230330,19:07:00,Oakland Coliseum,OAK,ANA
20230330,19:10:00,Dodger Stadium,LAN,ARI
20230330,19:10:00,TMobile Park,SEA,CLE
20230331,18:40:00,Petco Park,SDN,COL
20230331,18:40:00,loanDepot park,MIA,NYN
20230331,19:10:00,Dodger Stadium,LAN,ARI
20230331,19:10:00,TMobile Park,SEA,CLE
20230331,19:10:00,Minute Maid Park,HOU,CHA
20230401,13:07:00,Oakland Coliseum,OAK,ANA
20230401,13:10:00,Minute Maid Park,HOU,CHA
20230401,13:15:00,Busch Stadium,SLN,TOR
20230401,13:20:00,Wrigley Field,CHN,MIL
20230401,15:05:00,Globe Life Field,TEX,PHI
20230401,15:10:00,Kauffman Stadium,KCA,MIN
20230401,16:05:00,Yankee Stadium,NYA,SFN
20230401,16:05:00,Nationals Park,WAS,ATL
20230401,16:10:00,Fenway Park,BOS,BAL
20230401,16:10:00,Great American Ball Park,CIN,PIT
20230401,16:10:00,loanDepot park,MIA,NYN
20230401,16:10:00,Tropicana Field,TBA,DET
20230401,17:40:00,Petco Park,SDN,COL
20230401,18:10:00,Dodger Stadium,LAN,ARI
20230401,18:40:00,TMobile Park,SEA,CLE
20230402,13:07:00,Oakland Coliseum,OAK,ANA
20230402,13:10:00,Dodger Stadium,LAN,ARI
20230402,13:10:00,Petco Park,SDN,COL
20230402,13:10:00,Kauffman Stadium,KCA,MIN
20230402,13:10:00,TMobile Park,SEA,CLE
20230402,13:10:00,Minute Maid Park,HOU,CHA
20230402,13:10:00,Tropicana Field,TBA,DET
20230402,13:15:00,Busch Stadium,SLN,TOR
20230402,13:20:00,Wrigley Field,CHN,MIL
20230402,13:35:00,Yankee Stadium,NYA,SFN
20230402,13:35:00,Fenway Park,BOS,BAL
20230402,13:35:00,Nationals Park,WAS,ATL
20230402,13:40:00,Great American Ball Park,CIN,PIT
20230402,13:40:00,loanDepot park,MIA,NYN
20230402,18:08:00,Globe Life Field,TEX,PHI
20230403,13:10:00,American Family Field,MIL,NYN
20230403,15:10:00,Guaranteed Rate Field,CHA,SFN
20230403,18:40:00,Oakland Coliseum,OAK,CLE
20230403,18:40:00,Great American Ball Park,CIN,CHN
20230403,18:40:00,Petco Park,SDN,ARI
20230403,18:40:00,loanDepot park,MIA,MIN
20230403,18:40:00,Kauffman Stadium,KCA,TOR
20230403,18:40:00,TMobile Park,SEA,ANA
20230403,18:45:00,Busch Stadium,SLN,ATL
20230403,19:05:00,Yankee Stadium,NYA,PHI
20230403,19:05:00,Globe Life Field,TEX,BAL
20230403,19:05:00,Nationals Park,WAS,TBA
20230403,19:10:00,Fenway Park,BOS,PIT
20230403,19:10:00,Dodger Stadium,LAN,COL
20230403,19:10:00,Minute Maid Park,HOU,DET
20230404,13:10:00,Petco Park,SDN,ARI
20230404,18:40:00,Oakland Coliseum,OAK,CLE
20230404,18:40:00,Great American Ball Park,CIN,CHN
20230404,18:40:00,loanDepot park,MIA,MIN
20230404,18:40:00,Kauffman Stadium,KCA,TOR
20230404,18:40:00,American Family Field,MIL,NYN
20230404,18:40:00,TMobile Park,SEA,ANA
20230404,18:45:00,Busch Stadium,SLN,ATL
20230404,19:05:00,Yankee Stadium,NYA,PHI
20230404,19:05:00,Globe Life Field,TEX,BAL
20230404,19:05:00,Nationals Park,WAS,TBA
20230404,19:10:00,Fenway Park,BOS,PIT
20230404,19:10:00,Dodger Stadium,LAN,COL
20230404,19:10:00,Minute Maid Park,HOU,DET
20230405,12:15:00,Busch Stadium,SLN,ATL
20230405,12:35:00,Great American Ball Park,CIN,CHN
20230405,12:37:00,Oakland Coliseum,OAK,CLE
20230405,12:40:00,American Family Field,MIL,NYN
20230405,13:05:00,Yankee Stadium,NYA,PHI
20230405,13:05:00,Globe Life Field,TEX,BAL
20230405,13:05:00,Nationals Park,WAS,TBA
20230405,13:10:00,Guaranteed Rate Field,CHA,SFN
20230405,13:10:00,loanDepot park,MIA,MIN
20230405,13:10:00,TMobile Park,SEA,ANA
20230405,13:10:00,Minute Maid Park,HOU,DET
20230405,13:35:00,Fenway Park,BOS,PIT
20230405,18:40:00,Kauffman Stadium,KCA,TOR
20230406,13:10:00,Guaranteed Rate Field,CHA,SFN
20230406,13:10:00,Citi Field,NYN,MIA
20230406,13:10:00,Comerica Park,DET,BOS
20230406,13:10:00,Kauffman Stadium,KCA,TOR
20230406,14:10:00,Coors Field,COL,WAS
20230406,15:05:00,Oriole Park at Camden Yards,BAL,NYA
20230406,15:05:00,Citizens Bank Park,PHI,CIN
20230406,15:10:00,Target Field,MIN,HOU
20230406,18:40:00,Chase Field,ARI,LAN
20230406,19:20:00,Truist Park,ATL,SDN
