Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,game_date,DistanceBetweenStadiums,HistoricalAvgHrlyTemp,game_time,stadium_name,home_team,away_team
0,0,0,20230330,44.82450873085947,8.944897959183672,13:05:00,Yankee Stadium,NYA,SFN
1,1,1,20230330,21.333658458528465,11.779999999999998,13:05:00,Nationals Park,WAS,ATL
2,2,2,20230330,30.914011794821683,17.018000000000004,13:10:00,Petco Park,SDN,COL
3,3,3,20230330,17.79796338781072,7.601999999999999,13:20:00,Wrigley Field,CHN,MIL
4,4,4,20230330,10.622125367739802,6.79,14:10:00,Fenway Park,BOS,BAL
5,5,5,20230330,24.57987081853563,13.89,15:05:00,Globe Life Field,TEX,PHI
6,6,6,20230330,13.216711892256686,9.063999999999998,15:10:00,Busch Stadium,SLN,TOR
7,7,7,20230330,10.535117174130043,8.402777777777779,15:10:00,Kauffman Stadium,KCA,MIN
8,8,8,20230330,40.86956842302119,19.396000000000004,15:10:00,Tropicana Field,TBA,DET
9,9,9,20230330,9.376147415427964,7.459999999999999,16:10:00,Great American Ball Park,CIN,PIT
10,10,10,20230330,15.004568102888909,21.552000000000007,16:10:00,loanDepot park,MIA,NYN
11,11,11,20230330,27.330308531386475,16.644000000000002,18:08:00,Minute Maid Park,HOU,CHA
12,12,12,20230330,29.86863188755133,12.068,19:07:00,Oakland Coliseum,OAK,ANA
13,13,13,20230330,31.573946716436826,19.50454545454545,19:10:00,Dodger Stadium,LAN,ARI
14,14,14,20230330,39.63167330051734,7.986000000000002,19:10:00,TMobile Park,SEA,CLE
15,15,15,20230331,30.914011794821683,16.624000000000002,18:40:00,Petco Park,SDN,COL
16,16,16,20230331,15.004568102888909,21.72599999999999,18:40:00,loanDepot park,MIA,NYN
17,17,17,20230331,31.573946716436826,19.159090909090907,19:10:00,Dodger Stadium,LAN,ARI
18,18,18,20230331,39.63167330051734,8.285714285714285,19:10:00,TMobile Park,SEA,CLE
19,19,19,20230331,27.330308531386475,16.434000000000005,19:10:00,Minute Maid Park,HOU,CHA
20,20,20,20230401,29.86863188755133,11.924,13:07:00,Oakland Coliseum,OAK,ANA
21,21,21,20230401,27.330308531386475,16.769999999999996,13:10:00,Minute Maid Park,HOU,CHA
22,22,22,20230401,13.216711892256686,8.391999999999998,13:15:00,Busch Stadium,SLN,TOR
23,23,23,20230401,17.79796338781072,6.506,13:20:00,Wrigley Field,CHN,MIL
24,24,24,20230401,24.57987081853563,15.158,15:05:00,Globe Life Field,TEX,PHI
25,25,25,20230401,10.535117174130043,6.608108108108107,15:10:00,Kauffman Stadium,KCA,MIN
26,26,26,20230401,44.82450873085947,8.788000000000004,16:05:00,Yankee Stadium,NYA,SFN
27,27,27,20230401,21.333658458528465,11.828,16:05:00,Nationals Park,WAS,ATL
28,28,28,20230401,10.622125367739802,5.940816326530613,16:10:00,Fenway Park,BOS,BAL
29,29,29,20230401,9.376147415427964,7.759999999999999,16:10:00,Great American Ball Park,CIN,PIT
30,30,30,20230401,15.004568102888909,21.83,16:10:00,loanDepot park,MIA,NYN
31,31,31,20230401,40.86956842302119,19.258,16:10:00,Tropicana Field,TBA,DET
32,32,32,20230401,30.914011794821683,16.834000000000007,17:40:00,Petco Park,SDN,COL
33,33,33,20230401,31.573946716436826,19.654545454545453,18:10:00,Dodger Stadium,LAN,ARI
