,Date,NumberofGames,DayofWeek,VisitingTeam,HomeTeam,DayNight,Attendance
0,20010402,0,Mon,BOS,BAL,D,46547.0
1,20010402,0,Mon,CHA,CLE,D,42606.0
2,20010402,0,Mon,KCA,NYA,D,55814.0
3,20010402,0,Mon,OAK,SEA,N,45911.0
4,20010402,0,Mon,MON,CHN,D,38466.0
5,20010402,0,Mon,ATL,CIN,D,41901.0
6,20010402,0,Mon,SLN,COL,D,48113.0
7,20010402,0,Mon,PHI,FLO,D,36146.0
8,20010402,0,Mon,MIL,LAN,D,53154.0
9,20010402,0,Mon,SDN,SFN,D,40930.0
10,20010403,0,Tue,MIN,DET,D,40104.0
11,20010403,0,Tue,OAK,SEA,N,27212.0
12,20010403,0,Tue,TOR,TBA,N,26678.0
13,20010403,0,Tue,ANA,TEX,D,49512.0
14,20010403,0,Tue,NYN,ATL,D,42117.0
15,20010403,0,Tue,PIT,CIN,N,20784.0
16,20010403,0,Tue,PHI,FLO,N,10257.0
17,20010403,0,Tue,MIL,HOU,D,36526.0
18,20010403,0,Tue,ARI,LAN,N,22927.0
19,20010404,0,Wed,BOS,BAL,N,35602.0
20,20010404,0,Wed,CHA,CLE,N,32763.0
21,20010404,0,Wed,KCA,NYA,N,26499.0
22,20010404,0,Wed,OAK,SEA,D,31382.0
23,20010404,0,Wed,TOR,TBA,N,10566.0
24,20010404,0,Wed,ANA,TEX,N,34321.0
25,20010404,0,Wed,NYN,ATL,N,27924.0
26,20010404,0,Wed,MON,CHN,D,23070.0
27,20010404,0,Wed,PIT,CIN,N,18330.0
28,20010404,0,Wed,SLN,COL,N,36667.0
29,20010404,0,Wed,PHI,FLO,N,8493.0
30,20010404,0,Wed,MIL,HOU,N,25092.0
31,20010404,0,Wed,ARI,LAN,N,34301.0
32,20010404,0,Wed,SDN,SFN,N,40930.0
33,20010405,0,Thu,BOS,BAL,N,33469.0
34,20010405,0,Thu,MIN,DET,D,20836.0
35,20010405,0,Thu,KCA,NYA,D,26696.0
36,20010405,0,Thu,TOR,TBA,D,10881.0
37,20010405,0,Thu,ANA,TEX,N,34120.0
38,20010405,0,Thu,NYN,ATL,N,34219.0
39,20010405,0,Thu,MON,CHN,D,16758.0
40,20010405,0,Thu,PIT,CIN,D,20482.0
41,20010405,0,Thu,SLN,COL,D,35142.0
42,20010405,0,Thu,MIL,HOU,N,24055.0
43,20010405,0,Thu,ARI,LAN,N,20542.0
44,20010405,0,Thu,SDN,SFN,N,40930.0
45,20010406,0,Fri,TBA,BOS,D,33525.0
46,20010406,0,Fri,DET,CHA,D,43954.0
47,20010406,0,Fri,BAL,CLE,N,32738.0
48,20010406,0,Fri,MIN,KCA,D,40150.0
49,20010406,0,Fri,TOR,NYA,N,29606.0
50,20010406,0,Fri,ANA,OAK,N,42826.0
51,20010406,0,Fri,SEA,TEX,N,34684.0
52,20010406,0,Fri,SLN,ARI,N,46079.0
53,20010406,0,Fri,SDN,COL,N,37431.0
54,20010406,0,Fri,ATL,FLO,N,15857.0
55,20010406,0,Fri,PIT,HOU,N,27126.0
56,20010406,0,Fri,SFN,LAN,N,36508.0
57,20010406,0,Fri,CIN,MIL,N,42024.0
58,20010406,0,Fri,NYN,MON,N,45183.0
59,20010406,0,Fri,CHN,PHI,D,36380.0
60,20010407,0,Sat,TBA,BOS,N,31660.0
61,20010407,0,Sat,DET,CHA,D,20264.0
62,20010407,0,Sat,BAL,CLE,D,40704.0
63,20010407,0,Sat,MIN,KCA,D,16687.0
64,20010407,0,Sat,TOR,NYA,D,30487.0
65,20010407,0,Sat,ANA,OAK,D,21398.0
66,20010407,0,Sat,SEA,TEX,N,41651.0
67,20010407,0,Sat,SLN,ARI,D,34404.0
68,20010407,0,Sat,SDN,COL,D,41026.0
69,20010407,0,Sat,ATL,FLO,N,27224.0
70,20010407,0,Sat,PIT,HOU,D,30046.0
71,20010407,0,Sat,SFN,LAN,N,38417.0
72,20010407,0,Sat,CIN,MIL,D,40651.0
73,20010407,0,Sat,NYN,MON,D,15317.0
74,20010407,0,Sat,CHN,PHI,D,16847.0
75,20010408,0,Sun,TBA,BOS,D,31383.0
76,20010408,0,Sun,DET,CHA,D,19887.0
77,20010408,0,Sun,BAL,CLE,D,40754.0
78,20010408,0,Sun,MIN,KCA,D,15028.0
79,20010408,0,Sun,TOR,NYA,D,31970.0
80,20010408,0,Sun,ANA,OAK,D,26211.0
81,20010408,0,Sun,SEA,TEX,D,44306.0
82,20010408,0,Sun,SLN,ARI,D,36714.0
83,20010408,0,Sun,SDN,COL,D,40446.0
84,20010408,0,Sun,ATL,FLO,D,20880.0
85,20010408,0,Sun,PIT,HOU,D,30174.0
86,20010408,0,Sun,SFN,LAN,N,37549.0
