Team,Season,Sum_WAR
ANA,2000,21.4
ANA,2001,10.5
ANA,2002,11.9
ANA,2003,12
ANA,2004,12.8
ARI,2000,10.4
ARI,2001,14.5
ARI,2002,13.7
ARI,2003,9.3
ARI,2004,3.4
ARI,2005,10.2
ARI,2006,6.6
ARI,2007,8
ARI,2008,7.1
ARI,2009,12.7
ARI,2010,14.3
ARI,2011,16.8
ARI,2012,13.4
ARI,2013,11.6
ARI,2014,10.5
ARI,2015,17.9
ARI,2016,14.5
ARI,2017,10.6
ARI,2018,12.2
ARI,2019,12.7
ARI,2020,4.1
ARI,2021,6.4
ARI,2022,11.4
ATL,2000,17
ATL,2001,15.2
ATL,2002,17
ATL,2003,20.8
ATL,2004,17.2
ATL,2005,18
ATL,2006,14.2
ATL,2007,14.3
ATL,2008,18.5
ATL,2009,13.4
ATL,2010,15.1
ATL,2011,11.5
ATL,2012,15.1
ATL,2013,12
ATL,2014,12.8
ATL,2015,7.8
ATL,2016,13.8
ATL,2017,12.8
ATL,2018,12.6
ATL,2019,15
ATL,2020,8.1
ATL,2021,13.8
ATL,2022,16.7
BAL,2000,5.5
BAL,2001,6.3
BAL,2002,7.6
BAL,2003,11.5
BAL,2004,16.6
BAL,2005,15.7
BAL,2006,12.8
BAL,2007,11.2
BAL,2008,14.9
BAL,2009,7.2
BAL,2010,8.4
BAL,2011,12.7
BAL,2012,11.3
BAL,2013,17
BAL,2014,13.1
BAL,2015,15.4
BAL,2016,12.1
BAL,2017,8.2
BAL,2018,2.3
BAL,2019,9.4
BAL,2020,3.4
BAL,2021,9.4
BAL,2022,11.5
BOS,2000,14.9
BOS,2001,10.7
BOS,2002,14.4
BOS,2003,16.6
BOS,2004,12.6
BOS,2005,12.6
BOS,2006,10.9
BOS,2007,15.2
BOS,2008,16.8
BOS,2009,15.5
BOS,2010,14.3
BOS,2011,23.6
BOS,2012,10.3
BOS,2013,14.2
BOS,2014,8.3
BOS,2015,12.3
BOS,2016,18.3
BOS,2017,10.9
BOS,2018,21.1
BOS,2019,19
BOS,2020,5.2
BOS,2021,12.5
BOS,2022,13.4
CHN,2000,12.4
CHN,2001,13.4
CHN,2002,11.4
CHN,2003,8.7
CHN,2004,14.6
CHN,2005,12.8
CHN,2006,9.6
CHN,2007,14.8
CHN,2008,12.5
CHN,2009,9.8
CHN,2010,10.7
CHN,2011,9.4
CHN,2012,8.2
CHN,2013,5.4
CHN,2014,11.7
CHN,2015,14.4
CHN,2016,16.9
CHN,2017,14.3
CHN,2018,12.5
CHN,2019,14.3
CHN,2020,5.1
CHN,2021,6.1
CHN,2022,10.8
CHA,2000,13.1
CHA,2001,10.8
CHA,2002,10
CHA,2003,12.7
CHA,2004,14.8
CHA,2005,10.9
CHA,2006,11.7
CHA,2007,5.7
CHA,2008,9.7
CHA,2009,6.6
CHA,2010,11.1
CHA,2011,9.4
CHA,2012,9.8
CHA,2013,6.2
CHA,2014,12.3
CHA,2015,9.6
CHA,2016,12.2
CHA,2017,11
CHA,2018,6.4
CHA,2019,12.2
CHA,2020,6.9
CHA,2021,12.3
CHA,2022,8
CIN,2000,11.6
CIN,2001,5.5
CIN,2002,11.9
CIN,2003,4.8
CIN,2004,11.8
CIN,2005,10.9
CIN,2006,9.4
CIN,2007,9.6
CIN,2008,9
CIN,2009,10.4
CIN,2010,16.6
CIN,2011,15.7
CIN,2012,12.8
CIN,2013,16.1
CIN,2014,11.4
CIN,2015,14.1
CIN,2016,11.1
CIN,2017,14.3
CIN,2018,11.3
CIN,2019,7.5
CIN,2020,3.2
CIN,2021,10.1
CIN,2022,3.9
CLE,2000,14.4
CLE,2001,16.3
CLE,2002,13.7
CLE,2003,9.3
CLE,2004,12.1
CLE,2005,16.1
CLE,2006,16.7
CLE,2007,14.7
CLE,2008,13.9
CLE,2009,10.2
CLE,2010,9.6
CLE,2011,7.7
CLE,2012,9.2
CLE,2013,11.7
CLE,2014,13.8
CLE,2015,12
CLE,2016,14.5
CLE,2017,15.9
CLE,2018,19.6
CLE,2019,14.1
CLE,2020,7.2
CLE,2021,10.4
CLE,2022,16.7
COL,2000,13.2
COL,2001,18.6
COL,2002,12.7
COL,2003,13.2
COL,2004,12.6
COL,2005,8.6
COL,2006,11.6
COL,2007,16.3
COL,2008,8.6
COL,2009,10.7
COL,2010,13.4
COL,2011,11.2
COL,2012,7.9
COL,2013,12.2
COL,2014,10.6
COL,2015,9.8
COL,2016,14.9
COL,2017,14.8
COL,2018,13
COL,2019,14.5
COL,2020,3.5
COL,2021,7.5
COL,2022,6.1
DET,2000,12.2
DET,2001,8.3
DET,2002,4.1
DET,2003,3.4
DET,2004,12.5
DET,2005,8.9
DET,2006,14
DET,2007,21.2
DET,2008,9.7
DET,2009,11
DET,2010,12.6
DET,2011,15.9
DET,2012,17.4
DET,2013,15.4
DET,2014,14.2
DET,2015,13.7
DET,2016,13.4
DET,2017,5.2
DET,2018,6.2
DET,2019,5.1
DET,2020,4.6
DET,2021,8.3
DET,2022,4.8
MIA,2000,8.9
MIA,2001,13.2
MIA,2002,8.7
MIA,2003,13.6
MIA,2004,11.2
MIA,2005,12.2
MIA,2006,14.9
MIA,2007,12.6
MIA,2008,15.1
MIA,2009,12.4
MIA,2010,11.3
MIA,2011,9.8
HOU,2000,16.4
HOU,2001,15.6
HOU,2002,12.8
HOU,2003,16.6
HOU,2004,14
HOU,2005,11.5
HOU,2006,13.2
HOU,2007,8.9
HOU,2008,13.8
HOU,2009,10.5
HOU,2010,8.4
HOU,2011,7.7
HOU,2012,6.2
HOU,2013,5.8
HOU,2014,9.5
HOU,2015,11.7
HOU,2016,15.2
HOU,2017,17.1
HOU,2018,17.2
HOU,2019,18.7
HOU,2020,4.7
HOU,2021,16.1
HOU,2022,18.7
KCA,2000,12
KCA,2001,10.6
KCA,2002,12.2
KCA,2003,12
KCA,2004,4.7
KCA,2005,7.1
KCA,2006,10.5
KCA,2007,7.3
KCA,2008,9.6
KCA,2009,7.3
KCA,2010,5.9
KCA,2011,13.2
KCA,2012,10.9
KCA,2013,11
KCA,2014,13.3
KCA,2015,13.4
KCA,2016,6.2
KCA,2017,11.7
KCA,2018,8.7
KCA,2019,9.6
KCA,2020,4.8
KCA,2021,12.2
KCA,2022,5.3
ANA,2005,12
ANA,2006,8.7
ANA,2007,12
ANA,2008,7.8
ANA,2009,14.2
ANA,2010,7.7
ANA,2011,13.5
ANA,2012,18.3
ANA,2013,15
ANA,2014,17.1
ANA,2015,14.7
ANA,2016,14.6
ANA,2017,14.4
ANA,2018,16.7
ANA,2019,13.8
ANA,2020,6.3
ANA,2021,10.2
ANA,2022,13.6
LAN,2000,13.7
LAN,2001,16.4
LAN,2002,11.6
LAN,2003,7.6
LAN,2004,16.6
LAN,2005,7.9
LAN,2006,10.4
LAN,2007,10.7
LAN,2008,14.5
LAN,2009,12.5
LAN,2010,10.1
LAN,2011,13.4
LAN,2012,9.3
LAN,2013,12.6
LAN,2014,12.9
LAN,2015,12.2
LAN,2016,15.3
LAN,2017,15.9
LAN,2018,13.5
LAN,2019,16.6
LAN,2020,6.5
LAN,2021,13.6
LAN,2022,20
MIA,2012,11.3
MIA,2013,6.3
MIA,2014,15.4
MIA,2015,11.7
MIA,2016,10.9
MIA,2017,16.8
MIA,2018,10.4
MIA,2019,6.3
MIA,2020,3.9
MIA,2021,5.4
MIA,2022,6.3
MIL,2000,8
MIL,2001,8.9
MIL,2002,9.1
MIL,2003,9.9
MIL,2004,6.6
MIL,2005,11.1
MIL,2006,9.2
MIL,2007,12.8
MIL,2008,12.5
MIL,2009,15
MIL,2010,13.2
MIL,2011,17.6
MIL,2012,18.2
MIL,2013,17.7
MIL,2014,15.6
MIL,2015,6.8
MIL,2016,8.4
MIL,2017,10.4
MIL,2018,17.5
MIL,2019,15.3
MIL,2020,2.3
MIL,2021,8.1
MIL,2022,9.7
MIN,2000,6.2
MIN,2001,13.9
MIN,2002,14.2
MIN,2003,12.2
MIN,2004,8.5
MIN,2005,7.6
MIN,2006,13.2
MIN,2007,9.8
MIN,2008,12.9
MIN,2009,15.8
MIN,2010,13.8
MIN,2011,6.5
MIN,2012,11.5
MIN,2013,9.5
MIN,2014,11.8
MIN,2015,8.1
MIN,2016,11
MIN,2017,13
MIN,2018,7.8
MIN,2019,12
MIN,2020,4.3
MIN,2021,11.3
MIN,2022,11.6
NYN,2000,14.9
NYN,2001,9.3
NYN,2002,10.5
NYN,2003,6
NYN,2004,7.3
NYN,2005,11.8
NYN,2006,18.2
NYN,2007,19.1
NYN,2008,20
NYN,2009,8.9
NYN,2010,11.2
NYN,2011,10.1
NYN,2012,9.9
NYN,2013,11
NYN,2014,8.8
NYN,2015,11.9
NYN,2016,10.1
NYN,2017,8.1
NYN,2018,11.4
NYN,2019,13.6
NYN,2020,5.1
NYN,2021,10.8
NYN,2022,18.1
NYA,2000,14.7
NYA,2001,12.5
NYA,2002,17.4
NYA,2003,16.1
NYA,2004,15.4
NYA,2005,17.7
NYA,2006,14.2
NYA,2007,19.9
NYA,2008,13.2
NYA,2009,16
NYA,2010,17
NYA,2011,17.4
NYA,2012,15.1
NYA,2013,11.9
NYA,2014,10.6
NYA,2015,8.8
NYA,2016,8.2
NYA,2017,17
NYA,2018,13.8
NYA,2019,13.7
NYA,2020,5.2
NYA,2021,9.9
NYA,2022,18.1
OAK,2000,13.4
OAK,2001,18.4
OAK,2002,13.4
OAK,2003,10.8
OAK,2004,12.9
OAK,2005,13.4
OAK,2006,10.2
OAK,2007,11.2
OAK,2008,8.9
OAK,2009,9.2
OAK,2010,11.8
OAK,2011,5.9
OAK,2012,10.2
OAK,2013,14.4
OAK,2014,10.5
OAK,2015,6.5
OAK,2016,7.3
OAK,2017,9.5
OAK,2018,14.7
OAK,2019,16.3
OAK,2020,4.7
OAK,2021,12.5
OAK,2022,8.4
PHI,2000,14.4
PHI,2001,13.5
PHI,2002,12.4
PHI,2003,13.8
PHI,2004,14.8
PHI,2005,15
PHI,2006,17.4
PHI,2007,19.6
PHI,2008,18.3
PHI,2009,17.3
PHI,2010,14
PHI,2011,13.2
PHI,2012,12
PHI,2013,7.8
PHI,2014,9.8
PHI,2015,7.3
PHI,2016,9
PHI,2017,7.9
PHI,2018,8.1
PHI,2019,11.8
PHI,2020,4.8
PHI,2021,14.5
PHI,2022,11.5
PIT,2000,14.3
PIT,2001,11.7
PIT,2002,11.9
PIT,2003,9
PIT,2004,10.6
PIT,2005,10.6
PIT,2006,11.7
PIT,2007,7.5
PIT,2008,6.1
PIT,2009,8.3
PIT,2010,7
PIT,2011,9
PIT,2012,12.2
PIT,2013,17.8
PIT,2014,18.4
PIT,2015,15.6
PIT,2016,9.3
PIT,2017,8.5
PIT,2018,9.6
PIT,2019,9.9
PIT,2020,3.7
PIT,2021,10.6
PIT,2022,7.7
SDN,2000,10.4
SDN,2001,13
SDN,2002,11.9
SDN,2003,11.2
SDN,2004,14
SDN,2005,10.5
SDN,2006,10.6
SDN,2007,7.9
SDN,2008,10.1
SDN,2009,10.3
SDN,2010,12.3
SDN,2011,8.9
SDN,2012,13.3
SDN,2013,9.2
SDN,2014,10.4
SDN,2015,9.2
SDN,2016,8.5
SDN,2017,5.5
SDN,2018,5.9
SDN,2019,7.3
SDN,2020,8.1
SDN,2021,15.7
SDN,2022,15.2
SEA,2000,18.4
SEA,2001,19.3
SEA,2002,14.7
SEA,2003,18.4
SEA,2004,13.9
SEA,2005,10.1
SEA,2006,13.6
SEA,2007,11.5
SEA,2008,11.1
SEA,2009,14.3
SEA,2010,8.3
SEA,2011,7
SEA,2012,8.3
SEA,2013,8.1
SEA,2014,14.6
SEA,2015,11.6
SEA,2016,17.4
SEA,2017,12.2
SEA,2018,11.7
SEA,2019,7.6
SEA,2020,5.1
SEA,2021,9.1
SEA,2022,13.6
SFN,2000,19.4
SFN,2001,24.5
SFN,2002,22.5
SFN,2003,16.5
SFN,2004,18.9
SFN,2005,8.4
SFN,2006,10.1
SFN,2007,7.9
